"0 disables animation","0 disables animation"
"0 means same as others","0 means same as others"
"Actions","Actions"
"Active From","Active From"
"Active To","Active To"
"Add Image","Add Image"
"Add \'No follow\' to URL","Add \'No follow\' to URL"
"Add Slider","Add Slider"
"Always showed","Always showed"
"\'Animation Speed\' field value should be integer and equals or greater than 0","\'Animation Speed\' field value should be integer and equals or greater than 0"
"Animation speed, seconds","Animation speed, seconds"
"Are you sure you want do this?","Are you sure you want do this?"
"Auto hide navigation","Auto hide navigation"
"Automatic layout position","Automatic layout position"
"Back","Back"
"Before Content","Before Content"
"Blind Up / Blind Down","Blind Up / Blind Down"
"Block has been succesfully saved","Block has been succesfully saved"
"Block ID","Block ID"
"\'Block ID\' field can\'t be empty","\'Block ID\' field can\'t be empty"
"Block with the same \'Block ID\' already exists in selected store views","Block with the same \'Block ID\' already exists in selected store views"
"Change status","Change status"
"Couldn\'t load slider block by given ID","Couldn\'t load slider block by given ID"
"Current file: %s","Current file: %s"
"Date From","Date From"
"Date To","Date To"
"Delete","Delete"
"Disabled","Disabled"
"Edit","Edit"
"Edit Image","Edit Image"
"Enabled","Enabled"
"Fade / Appear","Fade / Appear"
"\'First frame timeout\' field value should be integer and equals or greater than 0","\'First frame timeout\' field value should be integer and equals or greater than 0"
"First frame timeout, seconds","First frame timeout, seconds"
"General","General"
"General Information","General Information"
"\'Height\' field value should be integer and equals or greater than 1","\'Height\' field value should be integer and equals or greater than 1"
"Height, px","Height, px"
"ID","ID"
"Image has been successfully deleted","Image has been successfully deleted"
"Image","Image"
"Image Sliders","Image Sliders"
"Image preview","Image preview"
"Images","Images"
"Image Title","Image Title"
"Image Type","Image Type"
"Hidden","Hidden"
"Jalousie","Jalousie"
"Left Column","Left Column"
"List Sliders","List Sliders"
"\'Name\' field can\'t be empty","\'Name\' field can\'t be empty"
"Name","Name"
"No Image","No Image"
"None","None"
"Open URL in new window","Open URL in new window"
"Please, specify image file","Please, specify image file"
"Random effect for each switch","Random effect for each switch"
"Remove","Remove"
"Representation","Representation"
"Reset","Reset"
"Right Column","Right Column"
"Save And Continue Edit","Save And Continue Edit"
"Save","Save"
"Simple Slider","Simple Slider"
"Slider block has been successfully deleted","Slider block has been successfully deleted"
"Slider Information","Slider Information"
"Slider","Slider"
"Slide Up / Slide Down","Slide Up / Slide Down"
"Sort order should be integer","Sort order should be integer"
"Sort Order","Sort Order"
"Status","Status"
"Store isn\'t specified","Store isn\'t specified"
"Store View","Store View"
"Switch effect","Switch effect"
"The following symbols are allowed to be used in the \'Block ID\' field: a-z 0-9 - _","The following symbols are allowed to be used in the \'Block ID\' field: a-z 0-9 - _"
"Total Clicks","Total Clicks"
"Total of %d record(s) were successfully updated","Total of %d record(s) were successfully updated"
"Unallowed file type","Unallowed file type"
"Unique Clicks","Unique Clicks"
"URL Settings","URL Settings"
"URL","URL"
"Use images with the same width and height for best results","Use images with the same width and height for best results"
"Value of \'Date To\' should be equal or greater than value of \'Date From\' field","Value of \'Date To\' should be equal or greater than value of \'Date From\' field"
"\'Width\' field value should be integer and equals or greater than 1","\'Width\' field value should be integer and equals or greater than 1"
"Width, px","Width, px"
"Wrong value for \'Date From\' field","Wrong value for \'Date From\' field"
"Wrong value for \'Date To\' field","Wrong value for \'Date To\' field"
"Wrong value specified for \'Automatic layout position\' field","Wrong value specified for \'Automatic layout position\' field"
"Wrong value specified for \'Switch effect\' field","Wrong value specified for \'Switch effect\' field"
"You can manage images right after saving this slider","You can manage images right after saving this slider"
