"We apologize, but products of type <b>%s</b> are not supported","We apologize, but products of type <b>%s</b> are not supported"
"We apologize, but your free gift is not available at the moment","We apologize, but your free gift is not available at the moment"
"Number Of Gift Items","Number Of Gift Items"
"Discount Amount","Discount Amount"
"Please see <a target=""_blank"" href=""https://amasty.com/knowledge-base/special-promotions-#{value}.html"">usage example</a>","Please see <a target=""_blank"" href=""https://amasty.com/knowledge-base/special-promotions-#{value}.html"">usage example</a>"
"Order Label","Order Label"
"Prefix For The Promo Item Name In The Order","Prefix For The Promo Item Name In The Order"
"Promo Items Price","Promo Items Price"
"Discount","Discount"
"Promo Items Discount","Promo Items Discount"
"Set fixed price (e.g. 20), fixed discount (-20) or a percent discount (e.g. 50%).","Set fixed price (e.g. 20), fixed discount (-20) or a percent discount (e.g. 50%)."
"Minimal Price","Minimal Price"
"Оriginal Price","Оriginal Price"
"Show Discount on the Cart Page","Show Discount on the Cart Page"
"Show Original Price in the Popup","Show Original Price in the Popup"
"Free Shipping for Promo Items","Free Shipping for Promo Items"
"Use config","Use config"
"Product Page Banners","Product Page Banners"
"Top Banner","Top Banner"
"Image","Image"
"Alt","Alt"
"On Hover Text","On Hover Text"
"Link","Link"
"Show Gift Images","Show Gift Images"
"After Product Description Banner","After Product Description Banner"
"Show Gift images","Show Gift images"
"Label","Label"
"There is no defined renderer for <b>%s</b> option type.","There is no defined renderer for <b>%s</b> option type."
"Cart","Cart"
"Current Product Only","Current Product Only"
"Whole Shopping Cart Content","Whole Shopping Cart Content"
"Popup","Popup"
"Inside Page","Inside Page"
"Auto add promo items for every $X spent","Auto add promo items for every $X spent"
"Auto add promo items with products","Auto add promo items with products"
"Auto add the same product","Auto add the same product"
"Auto add promo items for the whole cart","Auto add promo items for the whole cart"
"Custom Options","Custom Options"
"Stock Qty","Stock Qty"
"Weight","Weight"
"Automatically add products to cart","Automatically add products to cart"
"All SKUs below","All SKUs below"
"One of the SKUs below","One of the SKUs below"
"Promo Items","Promo Items"
"Comma separated list of the SKUs","Comma separated list of the SKUs"
"Auto add simple products automatically, without confirmation.","Auto add simple products automatically, without confirmation."
"As default","As default"
"Message For The Promo Item In The Cart","Message For The Promo Item In The Cart"
"Add Simple Products Automatically, Without Confirmation","Add Simple Products Automatically, Without Confirmation"
"Add products with any amount of discount","Add products with any amount of discount"
"Add Downloadable Products Automatically, Without Confirmation","Add Downloadable Products Automatically, Without Confirmation"
"Display Mode","Display Mode"
"""Select Promo"" Block","""Select Promo"" Block"
"Open Popup Automatically","Open Popup Automatically"
"Allow to check multiple products for add to cart","Allow to check multiple products for add to cart"
"Show Popup on Checkout Page","Show Popup on Checkout Page"
"Block's Header Text","Block's Header Text"
"""Add to Cart"" Button Text","""Add to Cart"" Button Text"
"Reminder about Available Promos","Reminder about Available Promos"
"Notification Message","Notification Message"
"Display Success Messages","Display Success Messages"
"Display Error Messages","Display Error Messages"
"Show Stock Warning In Admin Panel","Show Stock Warning In Admin Panel"
"Do not Offer Promos for Products with Special Price","Do not Offer Promos for Products with Special Price"
"Do not Offer Promos for Configurable Products with when Child has Special Price","Do not Offer Promos for Configurable Products with when Child has Special Price"
"Ignore gift products when validating promo rule conditions","Ignore gift products when validating promo rule conditions"
"Validate condition based on","Validate condition based on"
"Enable Top Banners","Enable Top Banners"
"Enable After Product Description Banner","Enable After Product Description Banner"
"Show One Banner Only","Show One Banner Only"
"sample","sample"
"Availability:","Availability:"
"In stock","In stock"
"Amount","Amount"
"Amount in %s","Amount in %s"
"Minimum: %s","Minimum: %s"
"Maximum: %s","Maximum: %s"
"Entered amount is too low","Entered amount is too low"
"Entered amount is too high","Entered amount is too high"
"Choose an Amount...","Choose an Amount..."
"Other Amount...","Other Amount..."
"Recipient Name","Recipient Name"
"Recipient Email","Recipient Email"
"Message","Message"
"Maximum length of the message is %d characters.","Maximum length of the message is %d characters."
"Choose an Option...","Choose an Option..."
"Featured Products","Featured Products"
"In order to use attributes like SKU or Manufacturer, please activate `Use for Promo Rule Condition` option in ","In order to use attributes like SKU or Manufacturer, please activate `Use for Promo Rule Condition` option in "
"Product Attributes","Product Attributes"
"Add gift with each N-th product in the cart","Add gift with each N-th product in the cart"
"<b>Please note!</b> Automatical adding promo items works once per order only. Additional promo items can be added from popup manually.","<b>Please note!</b> Automatical adding promo items works once per order only. Additional promo items can be added from popup manually."
