"To work with advanced banners go to <a href=""%s"" target=""_blank"">Promo Banners</a>.","To work with advanced banners go to <a href=""%s"" target=""_blank"">Promo Banners</a>."
"To enrich banners functionality with advanced options please install <a href=""%s"" target=""_blank"">Promo Banners</a> extension.","To enrich banners functionality with advanced options please install <a href=""%s"" target=""_blank"">Promo Banners</a> extension."
"Product Page Banner","Product Page Banner"
"Display Options","Display Options"
"Apply to","Apply to"
"All products","All products"
"Products sku","Products sku"
"Top Banner","Top Banner"
"Image","Image"
"Alt","Alt"
"On Hover Text","On Hover Text"
"Link","Link"
"Show Promo Items images","Show Promo Items images"
"After Product Description Banner","After Product Description Banner"
"Show Gift images","Show Gift images"
"Show Gift Images","Show Gift Images"
"Product label (ribbon)","Product label (ribbon)"
"Get attractive and various labels with <a href=""%s"" target=""_blank"">""Product Labels""</a> extension.","Get attractive and various labels with <a href=""%s"" target=""_blank"">""Product Labels""</a> extension."
"Promo Banners Lite","Promo Banners Lite"
"Product Page Banners","Product Page Banners"
"Enable Top Banners","Enable Top Banners"
"Enable After Product Description Banner","Enable After Product Description Banner"
"Show One Banner Only","Show One Banner Only"
