"Módulo de Cross-sell e Up-sell Automático","Automatic cross-sell and upsell module"
"Configurações do módulo Cross-sell e Up-sell Automático","Automatic cross-sells and upsells Settings"
"selecione sim para ativar o módulo de cross-sell e up-sell automático","select yes to enable automatic cross-sell and upsell module"
"Configurações de Cross-sell","cross-sell settings"
"selecione sim para ativar a ação de cross-sell automático","select yes to enable automatic cross-sells action"
"Configurações de Up-sell","up-sell settings"
"selecione sim para ativar a ação de up-sell automático","select yes to enable automatic up-sell action"
"Filtro de Categoria","Category Filter"
"selecione sim para ativar o filtro de categoria para o Cross-sell e Up-sell automáticos","select yes to enable category filter in automatic cross-sells"
"Sim","Yes"
"Não","No"
