"Action","Ação"
"Active deals tab settings","Tabela de Configurações das Ofertas Ativas"
"Admin deal expired","Oferta Admin expirada"
"Admin deal succeed","Oferta Admin bem sucedida"
"Administrator","Administrador"
"Administrator email","Email do Administrador"
"All Deals","Todas Ofertas"
"Archive","Arquivo"
"Archived","Arquivado"
"Are you sure? All purchases, connected to this deal, will be refunded","Você tem certeza? Todas compras ligadas a essa oferta, serão reembolsadas"
"Are you sure?","Você tem certeza?"
"Automatically close deal on success","Oferta termina automaticamente em caso de sucesso"
"Available Coupons","Cupons Disponíveis"
"Available from","Disponível em"
"Available From","Disponível Em"
"Available to","Disponível até"
"Available To","Disponível Até"
"Back","Voltar"
"Bill to Name","Bill to Name"
"Buy!","Comprar!"
"Change status","Mudar status"
"Close as Failed","Terminado com Falha"
"Close as Success","Terminado com Sucesso"
"Closed","Terminado"
"Closed Deals","Ofertas Terminadas"
"Closed deals tab settings","Tabela de configurações de Ofertas Terminadas"
"Condition","Condição"
"Coupon code","Código do Cupom"
"Coupon expires after has been received, days","Cupom recebido expira depois de, dias"
"Coupon prefix","Prefixo do Cupom"
"Coupons","Cupons"
"Coupons functionality will be available after deal is created","As funcionalidades dos cupons estarão disponíveis após a oferta ser criada"
"Coupons qty:","Quantidade de Coupons:"
"Coupon status","Status do Cupom"
"Coupons were successfully generated","Cupons gerados com sucesso"
"Create New Deal","Criar Nova Oferta"
"Current purchases count is more then maximum allowed purchases","A quantidade de compras atuais são maiores que as compras permitidas"
"Customer deal closed and succeed","Oferta do cliente terminada com sucesso"
"Customer deal expired","Oferta do cliente foi expirada"
"Customer Name","Nome do Cliente"
"day","dia"
"days","dias"
"Deal","Oferta"
"Deal expires before","Oferta expira antes"
"Deal failed template for admin","Modelo de oferta para o admin falhou"
"Deal failed template for customer","Modelo de oferta para o cliente falhou"
"Deal Information","Minhas Compras Coletivas"
"Deal is not available now","A oferta não esta disponível"
"Deal name:","Nome da oferta:"
"Deal name","Nome da oferta"
"Deal Name","Nome da Oferta"
"Deal price","Valor da oferta"
"Deal qty is not available","Quantidade da oferta indisponível"
"Deal qty is not available now","Quantidade da oferta indisponível no momento"
"Deals","Ofertas"
"Deal #%s is not available more","Oferta #%s não está mais disponível"
