"Módulo de Cross-sell e Up-sell Automático","Módulo de Cross-sell e Up-sell Automático"
"Configurações do módulo Cross-sell e Up-sell Automático","Configurações do módulo Cross-sell e Up-sell Automático"
"selecione sim para ativar o módulo de cross-sell e up-sell automático","selecione sim para ativar o módulo de cross-sell e up-sell automático"
"Configurações de Cross-sell","Configurações de Cross-sell"
"selecione sim para ativar a ação de cross-sell automático","select yes to enable automatic cross-sells action"
"Configurações de Up-sell","Configurações de Up-sell"
"selecione sim para ativar a ação de up-sell automático","selecione sim para ativar a ação de up-sell automático"
"Filtro de Categoria","Filtro de Categoria"
"selecione sim para ativar o filtro de categoria para o Cross-sell e Up-sell automáticos","selecione sim para ativar o filtro de categoria para o Cross-sell e Up-sell automáticos"
"Sim","Sim"
"Não","Não"
