"XML Feed Information","Informação do Feed XML"
"XML","XML"
"Filename","Arquivo"
"example: feed.xml","exemplo: feed.xml"
"Path","Caminho"
"example: <b>sitemap/</b> or <b>/</b> for base path","exemplo: <b>sitemap/</b> ou <b>/</b> para caminho base"
"XML Wrapper","XML Wrapper"
"XML Item Object","XML Item",
"See the examples and docs on module package","Veja os exemplos e a documentação no pacote do módulo",
"XML Item Options","Opções XML Item"
"Include products that are not visible on catalog or catalog search","Incluir produtos que não estão visíveis no catálogo ou na busca do catálogo"
"XML Products Filters (leave blank for use all products)","Filtros XML Para os Produtos (deixe em branco para utilizar todos os produtos)"
"Generate","Gerar"
"Save & Generate","Salvar & Gerar"
"Edit XML Feed","Editar Feed XML"
"New XML Feed","Novo Feed XML"
"Last Time Generated","Última Geração"
"Add XML Feed","Adicionar Feed XML"
"This XML no longer exists.","Este arquivo XML não existe mais."
"The XML has been saved.","O XML foi salvo."
"Unable to find a XML to delete.","Não foi possível encontrar o XML para ser removido."
"The XML has been deleted.","O XML foi removido."
"The XML '%s' has been generated.","O XML '%s' foi gerado."
"Unable to generate the XML.","Não foi possível gerar o XML"
"Unable to find a XML to generate.","Não foi possível encontrar o XML para ser gerado."
"Super XML Feed Section","Seção Super XML Feed"
"XML Feeds","Feeds XML"
"XML Feeds Section","Seção Feeds XML"
"Automatic Generation Settings","Configurações de Geração Automática"
"Enabled","Habilitado"
"Frequency","Frequência"
"Start Time","Tempo de Início"
"Please define correct path","Por favor informe um caminho correto"
"Please create the specified folder ""%s"" before saving the xml.","Por favor crie a pasta ""%s"" antes de salvar o xml."
"Please make sure that ""%s"" is writable by web-server.","Por favor verifique se ""%s"" possui permissão de escrita no servidor."
"Please use only letters (a-z or A-Z), numbers (0-9), dash (-) or underscore (_) in the filename. No spaces or other characters are allowed.","Use apenas letras (a-z ou A-Z), números (0-9), traços (-) ou underline (_) no nome do arquivo. Espaços ou outros caracteres não são permitidos."
"File "%s" cannot be saved. Please, make sure the directory "%s" is writeable by web server.","Arquivo ""%s"" não foi salvo. Verifique se o diretório ""%s"" possui permissão de escrita no servidor."
"Conditions Combination","Combinação de Condições"
"Product Attribute","Atributo de Produto"
"Product Stock","Estoque de Produto"
"Product Type","Tipo de Produto"
"Product Visibility","Visibilidade de Produto"
"Hourly","De Hora em Hora"
"Daily","Diariamente"
"Weekly","Semanalmente"
"Monthly","Mensalmente"
"Each 30 minutes","A cada 30 minutos",
"Each 1 hour","A cada 1 hora"
"Each 2 hours","A cada 2 horas"
"Each 4 hours","A cada 4 horas"
"Each 6 hours","A cada 6 horas"
"Each 8 hours","A cada 8 horas"
"Not applicable to minutes and hours frequencies","Não aplicável para frequências de minutos e horas"
